19-3-2020 02:48:36.273  INFO	13	185	Log 475 - user 5235804 at realtime 2024-09-04 19:26:02.822094
19-3-2020 02:48:36.319	INFO	18	185	master allocated for INFO and ERROR dump
19-3-2020 02:48:36.358	INFO	12	191	creating mailslot for RSVP client API
19-3-2020 02:48:36.405	INFO	17	191	mailbox allocated for rsvp
19-3-2020 02:48:36.447	INFO	18	184	money transfer loaded from queue
19-3-2020 02:48:36.488	INFO	19	193	money transfer loaded from queue
19-3-2020 02:48:36.537	INFO	16	186	mailbox allocated for dump
19-3-2020 02:48:36.585	INFO	19	190	mailbox allocated for rsvp-api
19-3-2020 02:48:36.626	INFO	17	190	creating mailslot for RSVP client API
19-3-2020 02:48:36.669	INFO	17	192	mailbox allocated for terminate
19-3-2020 02:48:36.712	INFO	11	192	parsing transaction entries
19-3-2020 02:48:36.755	INFO	10	194	mailbox allocated for dump
19-3-2020 02:48:36.795	INFO	13	188	interface 127.0.0.1, entity for rsvp allocated and initialized
19-3-2020 02:48:36.843	INFO	17	183	mailbox allocated for dump
19-3-2020 02:48:36.843	ERROR	16	184	mailbox cannot be allocated for terminate
19-3-2020 02:48:36.889	INFO	16	190	master allocated for INFO and ERROR dump
19-3-2020 02:48:36.938	INFO	15	188	mailbox allocated for rsvp-udp
19-3-2020 02:48:36.977	INFO	18	192	out of INFO allcations
19-3-2020 02:48:37.019	INFO	14	186	mailbox allocated for terminate
19-3-2020 02:48:37.066	INFO	12	191	master allocated for INFO and ERROR dump
19-3-2020 02:48:37.110	INFO	11	191	parsing transaction entries
19-3-2020 02:48:37.158	INFO	18	194	out of INFO allcations
19-3-2020 02:48:37.201	INFO	17	183	creating mailslot for RSVP client API
19-3-2020 02:48:37.249	INFO	13	192	out of INFO allcations
19-3-2020 02:48:37.287	INFO	12	186	creating mailslot for (broken) pipe
19-3-2020 02:48:37.336	INFO	10	184	creating mailslot for (broken) pipe
19-3-2020 02:48:37.336	INFO	18	194	transaction 17018 begun
19-3-2020 02:48:37.502	INFO	19	191	interface 127.0.0.1, entity for rsvp allocated and initialized
19-3-2020 02:48:37.502	INFO	12	184	transaction done, id=17018
19-3-2020 02:48:37.548	INFO	10	189	mailbox allocated for dump
19-3-2020 02:48:37.593	INFO	10	189	creating mailslot for RSVP via UDP
19-3-2020 02:48:37.639	INFO	11	193	mailbox allocated for terminate
19-3-2020 02:48:37.679	INFO	14	183	interface 127.0.0.1, entity for rsvp allocated and initialized
19-3-2020 02:48:37.719	INFO	13	186	mailbox allocated for dump
19-3-2020 02:48:37.766	INFO	17	185	parsing transaction entries
19-3-2020 02:48:37.813	INFO	14	184	mailbox allocated for route
19-3-2020 02:48:37.851	INFO	14	186	creating mailslot for terminate
19-3-2020 02:48:37.892	INFO	11	193	mailbox allocated for rsvp-udp
19-3-2020 02:48:37.941	INFO	19	191	creating mailslot for terminate
19-3-2020 02:48:37.982	INFO	10	189	mailbox allocated for dump
19-3-2020 02:48:38.024	INFO	10	188	creating mailslot for RSVP client API
19-3-2020 02:48:38.063	INFO	15	191	creating socket for traffic CONTROL module
19-3-2020 02:48:38.106	INFO	17	185	creating mailslot for RSVP via UDP
19-3-2020 02:48:38.151	INFO	19	190	mailbox allocated for rsvp-api
19-3-2020 02:48:38.200	INFO	17	186	creating mailslot for terminate
19-3-2020 02:48:38.237	INFO	16	191	calculating thresholds...
19-3-2020 02:48:38.282	INFO	16	187	master allocated for INFO and ERROR dump
19-3-2020 02:48:38.331	INFO	11	188	mailbox allocated for rsvp
19-3-2020 02:48:38.368	INFO	15	184	creating mailslot for terminate
19-3-2020 02:48:38.405	INFO	10	187	mailbox allocated for route
19-3-2020 02:48:38.443	INFO	17	189	creating mailslot for route engine - informational socket
19-3-2020 02:48:38.489	INFO	15	183	loopback to avoid ERROR
19-3-2020 02:48:38.529	INFO	18	194	interface 127.0.0.1, entity for rsvp allocated and initialized
19-3-2020 02:48:38.570	INFO	14	193	loading data for user
19-3-2020 02:48:38.609	INFO	18	191	calculating thresholds...
19-3-2020 02:48:38.658	INFO	13	193	mailbox allocated for rsvp
19-3-2020 02:48:38.702	INFO	14	193	mailbox allocated for rsvp-udp
19-3-2020 02:48:38.742	INFO	10	194	creating mailslot for route engine - informational socket
19-3-2020 02:48:38.784	INFO	14	191	mailbox allocated for rsvp
19-3-2020 02:48:38.823	INFO	12	189	loopback to avoid ERROR
19-3-2020 02:48:38.869	INFO	16	192	creating mailslot for dump
19-3-2020 02:48:38.917	INFO	10	188	mailbox allocated for pipe
19-3-2020 02:48:38.962	INFO	16	188	creating socket for querying route
19-3-2020 02:48:39.010	INFO	14	186	money transfer loaded from queue
19-3-2020 02:48:39.052	INFO	16	194	parsing transaction entries
19-3-2020 02:48:39.089	INFO	17	194	creating mailslot for RSVP client API
19-3-2020 02:48:39.127	INFO	12	184	creating mailslot for route engine - informational socket
19-3-2020 02:48:39.167	INFO	14	187	ready to accept informational socket connection
19-3-2020 02:48:39.209	INFO	11	187	ready to accept informational socket connection
19-3-2020 02:48:39.209	ERROR	19	186	mailbox cannot be allocated for terminate
19-3-2020 02:48:39.247	INFO	16	186	no mailbox necessary for traffic-CONTROL
